,Instrument,Date,Cash Flow from Operations Pct of Capital Expenditures,Dividends Percentage of Cash Flow from Operations,"Cash Flow from Operations Pct of Capital Expenditures, TTM",CAPEX to Depreciation & Amortization,CAPEX to Cash Flow from Operations,Depreciation & Depletion Pct of Cash Flow from Ops,"Depreciation & Depletion Pct of Cash Flow from Ops, TTM","Dividends Percentage of Cash Flow from Operations, 3 Yr Avg","Dividends Percentage of Cash Flow from Operations, 5 Yr Avg","Dividends Percentage of Cash Flow from Operations, TTM",Price to Cash Flow from Operations per Share,Price to FCF Net of Dividends per Share,Price to FCF per Share,"Price to FCF Net of Dividends per Share, 5 Yr Avg","Price to FCF per Share, 5 Yr Avg","Price to Cash Flow from Operations per Share, TTM",Price to FCF Net of Dividends per Share - Issue,"Price to FCF Net of Dividends per Share - Issue, TTM","Price to FCF Net of Dividends per Share - Issue, 3 Yr Avg","Price to FCF Net of Dividends per Share - Issue, 5 Yr Avg",Price to FCF per Share - Issue,"Price to FCF per Share - Issue, TTM","Price to FCF per Share - Issue, 3 Yr Avg","Price to FCF per Share - Issue, 5 Yr Avg",Price to Cash Flow from Operations per Share - Issue,"Price to Cash Flow from Operations per Share - Issue, TTM",Free Cash Flow Yield - %,"Free Cash Flow Yield - %, TTM","Price to FCF Net of Dividends per Share, 3 Yr Avg","Price to FCF Net of Dividends per Share, TTM","Price to FCF per Share, 3 Yr Avg","Price to FCF per Share, TTM",Curr Price to FCF Net of Dividends per Share,"Curr Price to FCF Net of Dividends per Share, TTM",Curr Price to FCF per Share,"Curr Price to FCF per Share, TTM","Free Cash Flow Yield - %, 3 Yr Avg","Free Cash Flow Yield - %, 5 Yr Avg",Cash Flow from Operations per Share,Capital Expenditures - Total per Share,"Cash Flow from Operations per Share, TTM",Free Cash Flow Net of Dividends per Share,"Free Cash Flow Net of Dividends per Share, TTM",Free Cash Flow per Share,"Free Cash Flow per Share, TTM","Cash Flow from Operations per Share, 10 Yr CAGR","Cash Flow from Operations per Share, 10 Yr Interim CAGR","Cash Flow from Operations per Share, 3 Yr CAGR","Cash Flow from Operations per Share, 3 Yr Interim CAGR","Cash Flow from Operations per Share, 5 Yr CAGR","Cash Flow from Operations per Share, 5 Yr Interim CAGR","Capital Expenditures - Total per Share, TTM","Free Cash Flow Net of Dividends per Share, 3 Yr Avg","Free Cash Flow Net of Dividends per Share, 5 Yr Avg","Free Cash Flow Net of Dividends per Share, Annualized","Free Cash Flow per Share, 3 Yr Avg","Free Cash Flow per Share, 5 Yr Avg","Free Cash Flow per Share, Annualized","Cash Flow from Operations per Share, PoP % Chg","Cash Flow from Operations per Share, YoY % Chg"
0,KC.BK,2024-12-31,-2101.50625,,,2.68315,,,,,,,,,,,,,,,,,,,,,,,-26.5260473865973,-37.5081187738993,,,,,NaN,NaN,NaN,NaN,,,-0.017724800034652,0.000843433135966,-0.025063059537443,-0.018568233170618,-0.02625568314173,-0.018568233170618,-0.02625568314173,,,,,,,0.001192623604286,-0.024631845161646,-0.047940141970359,-0.032508488368902,-0.024631845161646,-0.047940141970359,-0.032508488368902,-223.244662501051,34.6587957922964
1,KC.BK,2023-12-31,31.5052,,,52.71196,3.17408,6.02155,,,,,7.64855617474506,,,,,,,,,,,,,,7.64855617474506,,-28.4246989179858,-74.3572198863043,,,,,NaN,NaN,NaN,NaN,,,0.014381799320924,0.045648968130709,-0.025962713278253,-0.031267168809784,-0.074357219886304,-0.031267168809784,-0.074357219886304,,,,,9.71833201338064,,0.048394506608051,-0.027771172857319,-0.048933576356918,-0.030855996440988,-0.027771172857319,-0.048933576356918,-0.030855996440988,325.72992503992,-210.888367320167
2,KC.BK,2022-12-31,-261.31305,,,1.84219,,,,,,,,,,,,,,,,,,,,,,,-4.19495532938824,-59.7573858048086,,,,,NaN,38.1419255467755,NaN,38.1419255467755,,,-0.006371241791881,0.002438164399835,-0.015458779208353,-0.008809406191715,-0.07170886296577,-0.008809406191715,-0.07170886296577,,,,,,,0.056250083757417,-0.033618294583844,-0.059529863509247,-0.037772750130764,-0.033618294583844,-0.059529863509247,-0.037772750130764,89.2830292638542,-203.297439332469
3,KC.BK,2021-12-31,-6196.79834,,,0.20596,,,17.7528326171834,,,,,,,,,21.1469840791637,,,,,,,,,,21.1469840791637,,-39.9277745095304,,,,,NaN,NaN,NaN,NaN,,,-0.059450025093304,0.000959366786005,0.004728806700078,-0.060409391879309,-0.03992777450953,-0.060409391879309,-0.03992777450953,,,,,,8.75179214566892,0.044656581209609,-0.042052322099324,-0.040547822042332,-0.014301638966346,-0.042052322099324,-0.040547822042332,-0.014301638966346,49.1319316144815,-172.296327151594
4,KC.BK,2020-12-31,-3095.51063,,,0.3807,,,6.02155383769585,,,,,,,,,5.91077822569416,,,,,,,,,,5.91077822569416,,-36.7816044052131,,,,,NaN,NaN,NaN,NaN,,,-0.116871009614016,0.003775500186352,0.018610070586277,-0.120646509800368,-0.040459764845734,-0.120646509800368,-0.040459764845734,,,,,,15.522387487257,0.059069835432012,-0.052791614107748,0.066871159068112,-0.594175211921621,-0.052791614107748,0.066871159068112,-0.594175211921621,-430.851556330643,6.87712001700261
5,KC.BK,2019-12-31,-1448.74449,,,0.30124,,,23.5416929152927,,,,,,,,,25.0724605306323,,,,,,,,,,25.0724605306323,,-1.34392257276133,,,,,NaN,NaN,NaN,NaN,,,-0.022015760944896,0.001519644158517,0.003988439821366,-0.023535405103414,-0.001343922572761,-0.023535405103414,-0.001343922572761,,,,,,,0.005332362394127,-0.060679452282776,0.201486197028186,0.013939412417115,-0.060679452282776,0.205452515428186,0.013939412417115,-343.39769417582,451.972124540356
6,KC.BK,2018-12-31,9.69537,,,18.57899,10.3142,55.51538,74.8180451178177,,,,,,,,,85.328024811116,,,,,,,,,,85.328024811116,,-2.40298135668867,,,,,2.09781915186574,NaN,2.09781915186574,NaN,,,0.009045180571429,0.093293785142857,0.001289142696594,-0.084248604571429,-0.002643279492358,-0.084248604571429,-0.002643279492358,-20.0643104681319,-26.8477570341683,-74.9495450787365,,,-53.6961869853527,0.003932422188951,-0.066014161843063,0.180816723306011,0.034617027373875,-0.066014161843063,0.184783041706011,0.034617027373875,-89.7398060935795,7872.84542846704
7,KC.BK,2017-12-31,4285.36493,,,0.43193,0.02334,5.40261,,,,,,,,,,,,,,,,,,,,,,-12.0604507692406,,,,,2.09781915186574,6.05965819856818,2.09781915186574,6.05965819856818,,,0.088157988571429,0.002057187428571,-0.007326806207997,0.086100801142857,-0.015678586000013,0.086100801142857,-0.015678586000013,28.6068876164033,,,,-17.7060298741696,,0.008351779792016,-0.068643363035087,0.133697984106011,-0.00633473698783,-0.068643363035087,0.14163918227744,-0.00633473698783,-81.7072146775844,-65.2173094777405
8,KC.BK,2016-12-31,9193.36203,,,0.67531,0.01088,1.61073,,,,,2.07500030557006,2.09781915186574,2.09781915186574,8.08147429187095,7.69848033277558,,2.09781915186574,,,8.08147429187095,2.09781915186574,,,7.69848033277558,2.07500030557006,,47.6685513672915,-4.90802385311248,,,,,1.8101884210646,2.94537272801025,1.74745661883025,2.94536687913987,,12.9895766017949,0.481927639873419,0.005242126200504,-0.007454240685099,0.476685513672915,-0.010306850091536,0.476685513672915,-0.010306850091536,,,,,52.8079572292571,,0.002852609406437,-0.070875051350674,0.159624339991726,-0.057574649561573,-0.070875051350674,0.167565538163154,-0.057574649561573,-16.2448645672465,-263.271348481079
9,KC.BK,2015-12-31,18322.33577,3.44657,,0.8694,0.00546,0.62777,32.3336787342178,14.750125090209,,,3.68438895025973,3.83759945265695,3.70460803192013,16.4334620190283,14.8594530078207,41.2756785418982,3.83759945265695,54.4884650668222,,16.4334620190283,3.70460803192013,54.4884650668222,,14.8594530078207,3.68438895025973,41.2756785418982,26.9934090566038,1.83525081643178,,54.4884650668222,,54.4884650668222,NaN,4.52500498242066,NaN,4.33880358003317,,6.72972282003711,0.575400705142857,0.003140433142857,0.007268202743063,0.55242868,0.005505752449295,0.572260272,0.005505752449295,,-28.4648720234491,35.0567402621943,-53.4444847066253,,-46.677881715216,0.001762450293767,-0.071963628972266,0.074968986971429,0.001363786627045,-0.071963628972266,0.082910185142857,0.001363786627045,4798.49520487644,109.47436628714
10,KC.BK,2014-12-31,-10.68291,,,31.08799,,,,,,,,,,,,,,,,,,,,,,,-8.18598540092166,-0.814609476260945,,,,,NaN,NaN,NaN,NaN,,-4.97685639802153,-0.012246489142857,0.114636284571429,-0.001910005132175,-0.126882773714286,-0.002688211271661,-0.126882773714286,-0.002688211271661,,,,,,,0.000778206139486,-0.074361137303322,-0.056847309257143,0.000342514161437,-0.074361137303322,-0.048872729828571,0.000342514161437,95.834008036835,100.899693927336
11,KC.BK,2013-12-31,-4895.66737,,,1.62801,,,,,,,,,,33.8553028261883,25.8513962539016,,,,,33.8553028261883,,,,25.8513962539016,,,-39.4694607518797,,,,,,3.52288003039191,NaN,3.52288003039191,NaN,,3.86826301441678,-0.293963340571429,0.006004561142857,-0.014444165991682,-0.319842300571429,-0.015717739611652,-0.299967901714286,-0.015717739611652,,,,,,,0.00127357361997,-0.08107728909011,0.025756674057143,0.049940893817315,-0.08107728909011,0.033731253485714,0.049940893817315,-225.855318860856,131.794830494123
12,KC.BK,2012-12-31,1309.2728,,,5.54834,0.07638,1.3766,,,,,4.3669535455861,4.72807583026283,4.72807583026283,8.62070023247748,7.83861335278172,,4.72807583026283,,,8.62070023247748,4.72807583026283,,,7.83861335278172,4.3669535455861,,21.1502529971989,,,,,,19.0979947533475,4.96576390933422,19.0979947533475,4.96576390933422,,12.7573584126984,0.233572441142857,0.017839860571429,-0.062912375489844,0.215732580571429,-0.063927615489809,0.215732580571429,-0.063927615489809,,,-6.7888233299124,,100.983516982938,,0.001015239999965,-0.087531497897275,0.100223877028571,-0.014752311758783,-0.087531497897275,0.110223576685714,-0.014752311758783,303.803068483004,97.0542054310204
13,KC.BK,2011-12-31,1304.41666,,,1.18227,0.07666,6.48437,,,,,12.2745721721332,13.2937022302713,13.2937022302713,21.0476935925907,13.7990780638816,,13.2937022302713,,,21.0476935925907,13.2937022302713,,,13.7990780638816,12.2745721721332,,7.52235895372233,,,,,,NaN,8.06684094159466,NaN,8.06687383221045,,7.24686095238095,0.057843156571429,0.004434408,-0.140931833336052,0.053408748571429,-0.144522680604598,0.053408748571429,-0.144522680604598,,,-12.0139138045611,,,,0.003590847268546,-0.089224913654076,0.039909360914286,-0.05081510119794,-0.089224913654076,0.060873632,-0.05081510119794,169.799108964599,55.067103688111
14,KC.BK,2010-12-31,-2190.38589,,,0.74183,,,,17.2133232810277,64.7293418768765,,,,,130.311990205646,21.4796729578667,,,,,130.311990205646,,,,21.4796729578667,,,-9.96026469622332,,,,,,3.04050005991133,NaN,3.04050005991133,NaN,,4.65556436525612,-0.082870909714286,0.003783393142857,-0.168559287293442,-0.106652801142857,-0.172917193151527,-0.086654302857143,-0.172917193151527,,,,,,,0.004357905858085,-0.079281346556074,0.006891154057143,-0.049404936452323,-0.079281346556074,0.041806968,-0.049404936452323,-128.733231892155,-200.988254979225
15,KC.BK,2009-12-31,12662.46864,0.0,,0.29858,0.0079,2.645,,22.2949834785221,,,3.4672277631824,3.4948276550705,3.4948276550705,,,,3.4948276550705,,,,3.4948276550705,,,,3.4672277631824,,28.6137142857143,,,,,,19.0498998519551,6.07149795997669,12.1221357125045,6.07149795997669,,-2.28698151950719,0.288414857142857,0.002277714285714,-0.16417534888304,0.286137142857143,-0.168799278610621,0.286137142857143,-0.168799278610621,-1.80477263658096,,,,,,0.004623929727581,-0.059983148364876,-0.053191314285714,-0.170754501948932,-0.059983148364876,-0.0222752,-0.170754501948932,239.631249579436,-312.712284385388
16,KC.BK,2008-12-31,3500.0,35.32737,,0.24706,0.02857,11.5645,,240.921235438709,,,8.47856806406029,13.7159278934076,8.72793771300324,,,,13.7159278934076,,,,8.72793771300324,,,,8.47856806406029,,11.4574603174603,,,,,,NaN,6.84886830604658,NaN,5.32832639805136,,,0.08492,0.002426285714286,-0.130885584064103,0.052493714285714,-0.135113822946071,0.082493714285714,-0.135113822946071,,,,,26.1769407508912,,0.004228238881968,-0.039270920004467,-0.386560147801218,-0.511106033648812,-0.039270920004467,-0.355644033515503,-0.511106033648812,1092.31386392811,-230.532644109207
17,KC.BK,2007-12-31,18.67434,769.73684,,3.82268,5.35494,140.08344,,,,,126.363928112965,,,,,,,,,,,,,,126.363928112965,,-3.44634920634921,,,,,,NaN,NaN,NaN,NaN,,,0.007122285714286,0.038139428571429,-0.064605005081248,-0.08584,-0.065360437296207,-0.031017142857143,-0.065360437296207,-43.2092455255697,,,,,,0.000755432214959,-0.020836367997056,-0.395928848719038,-0.11370047825914,-0.020836367997056,-0.371012734433324,-0.11370047825914,125.546218487395,-1201.69069037878
18,KC.BK,2006-12-31,-198.51086,,,1.45346,,,,,,,,,,,,,,,,,,,,,,,-4.19245714285714,,,,,,NaN,NaN,NaN,NaN,,,-0.02788,0.014044571428571,-0.033434929282066,-0.111682285714286,-0.034193693796641,-0.041924571428571,-0.034193693796641,,,,,,,0.000758764514575,-0.001637514090661,-0.460816474430029,0.04772645689441,-0.001637514090661,-0.446864931572886,0.04772645689441,92.30439212742,102.168368421632
19,KC.BK,2005-12-31,-809.02177,,,5.97575,,,,,,,,,,,,,,,,,,,,,,,-32.5652114285714,,,,,,NaN,NaN,NaN,NaN,,,-0.362284571428571,0.044780571428571,-0.041281429708626,-0.407065142857143,-0.042458845787065,-0.407065142857143,-0.042458845787065,,,,,,,0.001177416078439,0.015841663858918,-0.461872187253071,-0.041278374457027,0.015841663858918,-0.461872187253071,-0.041278374457027,71.1569055478422,-188.265684742949
20,GSTEEL.BK,2024-12-31,-361.71653,,,1.14561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,-0.063575410825019,0.017576031379395,-0.063575410825019,-0.081151442204414,-0.081151442204414,-0.081151442204414,-0.081151442204414,,,,,,,0.017576031379395,-0.029395329739605,-0.015320634632846,-0.125813548573323,-0.029395329739605,-0.015320634632846,-0.125813548573323,-94.7272594735978,36.1258636483591
21,GSTEEL.BK,2023-12-31,-677.24396,,,0.3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,-0.032648439153758,0.00482077966057,-0.074969118301916,-0.037469218814329,-0.082964177909409,-0.037469218814329,-0.082964177909409,,,,,,,0.007995059607492,-0.018772797786453,-0.027092868869401,-0.10680619492701,-0.018772797786453,-0.027092868869401,-0.10680619492701,-115.713535677516,-620.516329560215
22,GSTEEL.BK,2022-12-31,-955.25875,,,0.09899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9430653500623,NaN,1.9430653500623,NaN,,,-0.015135090642882,0.001584396959758,-0.047226800646278,-0.01671948760264,-0.052914813997099,-0.01671948760264,-0.052914813997099,,,,,,,0.005688013350822,-0.001743395687805,-0.013825622391207,-0.058671009758524,-0.001743395687805,-0.013825622391207,-0.058671009758524,-128.641993019971,-304.919722539218
23,GSTEEL.BK,2021-12-31,809.99974,,,0.41675,0.12346,29.62354,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24730472544917,0.741420240037628,7.24730472544917,0.741420240037628,,,0.052842309654672,0.006523743993916,-0.02718398197284,0.046318565660756,-0.031601737175716,0.046318565660756,-0.031601737175716,9.72695320682688,,4.53426454526715,,-8.87726046996913,,0.004417755202876,0.00290766907743,-0.028782626038562,-0.030670242888511,0.00290766907743,-0.028782626038562,-0.030670242888511,305.316573478489,44.9619723197169
24,GSTEEL.BK,2020-12-31,2106.58344,,,0.04021,0.04747,118.05991,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,0.013037293096892,0.000618883300494,-0.032648439153758,0.012418409796398,-0.037469218814329,0.012418409796398,-0.037469218814329,,,,,139.596541491766,,0.00482077966057,0.006863321513153,-0.02225242740429,-0.133005555394895,0.006863321513153,-0.02225242740429,-0.133005555394895,110.69584397078,16.5796576311462
25,GSTEEL.BK,2019-12-31,-672.63649,,,0.08631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11774544190548,NaN,3.11774544190548,NaN,,,-0.121891204962493,0.018121408424697,-0.038916748440107,-0.14001261338719,-0.041770712194421,-0.14001261338719,-0.041770712194421,,,,,,,0.002853963754315,0.01102062389738,,0.012410423495605,0.01102062389738,,0.012410423495605,-363.491483661991,148.915497698624
26,GSTEEL.BK,2018-12-31,265.96911,,,0.06387,0.37598,588.65922,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,1.9957277978336,NaN,1.9957277978336,,,0.046260016934307,0.017393003357664,-0.052527526298067,0.028867013576642,-0.054254756867842,0.028867013576642,-0.054254756867842,-30.3715457292793,,554.345360495662,,,,0.001727230569775,0.013483239541949,,0.02588562026671,0.013483239541949,,0.02588562026671,151.733428722248,-13.2561173658376
27,GSTEEL.BK,2017-12-31,-4289.68454,,,0.00748,,,,,,,,,,,,,,,,,,,,,,,-48.1602662312716,,,,,,2.405990394399,NaN,2.405990394399,NaN,,,-0.089419970948905,0.002084534890511,-0.051523024392574,-0.091504505839416,-0.053499971806194,-0.091504505839416,-0.053499971806194,,,,,,,0.00197694741362,0.018349613389304,,-0.053948649767722,0.018349613389304,,-0.053948649767722,-206.313048744094,-150.149770636967
28,GSTEEL.BK,2016-12-31,1636.22243,,,0.01848,0.06112,330.80102,,,,,4.04232255830705,4.30545649524032,4.30545649524032,,,,4.30545649524032,,,,4.30545649524032,,,,4.04232255830705,,23.2263408329755,,,,,,NaN,NaN,NaN,NaN,,,0.084110061751825,0.005140502919708,-0.015135090642882,0.078969558832117,-0.01671948760264,0.078969558832117,-0.01671948760264,,,,,32.1295246625592,,0.001584396959758,0.015761883785785,,-0.150071677967165,0.015761883785785,,-0.150071677967165,50840.5050957841,42.3291828938575
29,GSTEEL.BK,2015-12-31,,,,,,169051.2146,,,,,1332.41028334275,,,,,,,,,,,,,,1332.41028334275,,,,,,,,NaN,NaN,NaN,NaN,,,0.000165114306569,,-0.042886407541873,,-0.040173239218652,,-0.040173239218652,-55.4867214518271,,,,,,-0.002713168323221,0.005487456637073,,-0.037118265182974,0.005487456637073,,-0.037118265182974,100.22038301725,-109.470073176226
30,GSTEEL.BK,2014-12-31,-34061.47443,,,0.00077,,,20.8877493407179,,,,,,,,,,,,,,,,,,,,-10.7344971158298,,,,,,NaN,NaN,NaN,NaN,,-8.36524538147859,-0.074921520101603,0.000219959709206,0.076301775863492,-0.075141479810808,0.071626623364575,-0.075141479810808,0.071626623364575,,,,,,,0.004675152498917,-0.0035672668222,-0.137190024256249,0.028880123676107,-0.0035672668222,-0.137190024256249,0.028880123676107,78.8609540552024,24.4017183749213
31,GSTEEL.BK,2013-12-31,-4106.67438,,,0.02886,,,21.1476707330811,,,,,,,,,,,,,,,,,,,,-72.6105658107722,,,,,,NaN,NaN,NaN,NaN,,-2.92070547095563,-0.354422428984035,0.008630400069826,0.074815400646372,-0.363052829053861,0.068148977550879,-0.363052829053861,0.068148977550879,,,,,,50.2353140652969,0.006666423095494,-0.024509302431049,-0.055493403948157,0.091972740232082,-0.024509302431049,-0.055493403948157,0.091972740232082,-101.552251817284,971.484028732997
32,GSTEEL.BK,2012-12-31,-10232.51012,,,0.00358,,,29.6235378914794,,,,,,,,,,,,,,,,,,,,-10.4449960026513,,,,,,NaN,NaN,NaN,NaN,,-0.994667225593525,-0.175846424829495,0.001718507215578,0.052842738124906,-0.177564932045073,0.046318941233413,-0.177564932045073,0.046318941233413,,9.78648454561062,,4.53454708212078,,-8.87711269726523,0.006523796891493,-0.035411972178293,-0.042890590652377,,-0.035411972178293,-0.021882678963058,,-941.947388580092,-765.479785832892
33,GSTEEL.BK,2011-12-31,80.00025,,,0.04076,1.25,3066.48305,11.8343434925963,,,,88.577443094647,,,,270.597917809562,,,,,,,,,304.533779896356,89.5475031876705,,-0.282234471241893,,,,,,NaN,36.373651812943,NaN,36.373651812943,,0.369551993634987,0.020885678513244,0.02610701623122,0.128251645476857,-0.005221337717975,0.121388647274361,-0.005221337717975,0.121388647274361,,4.44874765299186,-77.0471414269841,18.9721422234524,,12.8361293918129,0.006862998202496,-0.036866299483024,-0.036436515054174,0.359692453563222,-0.036866299483024,0.009571396635146,0.359692453563222,184.198910817959,818.69436736459
34,GSTEEL.BK,2010-12-31,-61.75912,,,0.07883,,,146.044086796034,,,,,,,,,,,,,,,,,,,,-1.88317514937761,,,,,,10.3497426516934,NaN,10.3497426516934,NaN,,-13.0932845083425,-0.024805164710978,0.040164377942549,0.004775341422102,-0.064969542653528,0.002897963185731,-0.064969542653528,0.002897963185731,,-13.9416956598756,,-55.6094772424136,,-3.94058007706778,0.001877378236372,-0.041553758106253,-0.496990575109469,0.01508305378836,-0.041553758106253,-0.412438462012789,0.01508305378836,-105.843100697064,-64.578592736132
35,GSTEEL.BK,2009-12-31,465.59053,,,0.15159,0.21478,141.68122,21.960144555508,,,,4.71119685367648,5.99985081257585,5.99985081257585,,,,5.99994565033397,,,,5.99994565033397,,,,4.71127132208605,,16.6670810864826,,,,,,NaN,4.22744005092177,NaN,4.22743874703272,,,0.424520575581395,0.091178953851744,0.015880564554599,0.333341621729651,0.015866092052957,0.333341621729651,0.015866092052957,,-7.3297509533635,,-29.1114415426418,11.7200095406793,-5.56128549779103,1.4472501642e-05,-0.037738404247643,-0.558083883073608,0.005365146227571,-0.037738404247643,-0.473531769976929,0.005365146227571,-75.4212100667746,488.931819532782
36,GSTEEL.BK,2008-12-31,89.85532,6.08156,,2.63008,1.1129,42.3143,118.059906969175,15.981978243094,,,1.15795517800587,,,,,,,,,,,,,,1.09884754106309,,-9.74996020641818,,,,,,NaN,NaN,NaN,NaN,,,1.72718256974698,1.92218177387535,0.013037293096892,-0.300038762574963,0.012418409796398,-0.194999204128364,0.012418409796398,,,47.2820394840211,,,129.13916953158,0.000618883300494,-0.035576598840863,-0.616329423914384,-0.023060939417645,-0.035576598840863,-0.531777310817704,-0.023060939417645,71.3799601298262,155.742820970134
37,GSTEEL.BK,2007-12-31,98.02602,12.40314,,2.72348,1.02014,37.45715,,,,,3.62171819835758,,,,,,,,,,,,,,3.62171819835758,,-0.556015179563125,,,,,,NaN,NaN,NaN,NaN,,,1.00780894594595,1.0281035,-0.006231951039179,-0.145294554054054,-0.012219324459597,-0.020294554054054,-0.012219324459597,,,60.4641777697845,,,,0.005987373420419,-0.044236841810515,-0.636490021914855,-0.063666968755589,-0.044236841810515,-0.572945820507495,-0.063666968755589,331.54645161913,-525.930847394664
38,GSTEEL.BK,2006-12-31,-25.90752,,,4.89288,,,549.115578470358,,,,,,,,,,,,,,,,,,,,-45.4896909883365,,,,,,NaN,NaN,NaN,NaN,,,-0.435251302232732,1.68001932872492,0.012833957167145,-2.30799163799445,0.004141729300414,-2.11527063095765,0.004141729300414,,-6.67443327384788,,,,-25.2140999669907,0.008692227866731,-0.051772987180974,-0.612399255433941,0.066532695489857,-0.051772987180974,-0.573855054026581,0.066532695489857,-180.510254752502,115.084235155749
39,GSTEEL.BK,2005-12-31,59.33975,,,3.08466,1.68521,54.63193,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,0.540615979381443,0.91105206185567,-0.072296536139164,-0.370436082474227,-0.084552727048415,-0.370436082474227,-0.084552727048415,,,,,,,0.012256190909251,-0.055631750778393,,-0.008313158377256,-0.055631750778393,,-0.008313158377256,121.63837354528,91.6141189156812
40,RICH.BK^H20,2019-12-31,-1774.425,,,0.05685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,-0.012434411579093,0.000700757234525,-0.013314917335722,-0.013135168813618,-0.013751813149596,-0.013135168813618,-0.013751813149596,,,,,,,0.000436895813875,,-0.070341830955463,-0.00165558962647,,-0.070341830955463,-0.00165558962647,65.2786342750859,
41,RICH.BK^H20,2018-12-31,-43813.92121,,,0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,-0.035811988726499,8.173655253e-05,,-0.035893725279029,,-0.035893725279029,,,,,,,,,,-0.144576853791236,-0.006950929370209,,-0.144576853791236,-0.006950929370209,-188.743351354473,
42,RICH.BK^H20,2017-12-31,-6147.66459,,,0.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,,,-0.012402705918078,0.000201746626614,-0.012434412433261,-0.012604452544693,-0.013135169715924,-0.012604452544693,-0.013135169715924,,,,,,,0.000700757282663,,-0.139253093750033,,,-0.139253093750033,,52.2752961121937,
43,RICH.BK^H20,2016-12-31,-8214.4802,,,0.01129,,,,,,,,,,,,,,,,,,,,,,,-9.3944246779679,,,,,,NaN,NaN,NaN,NaN,,-24.5197346563951,-0.025988020684707,0.000316368413603,,-0.02630438909831,,-0.02630438909831,,,,,,,,,,-0.155870079902976,,,-0.155870079902976,,90.0783294784496,
44,RICH.BK^H20,2015-12-31,-14239.19657,,,0.05993,,,,,,,,,,,,,,,,,,,,,,,-44.7070201765537,,,,,,NaN,NaN,NaN,NaN,,-14.5572842789313,-0.261931905804167,0.0018395132375,-0.01695167060486,-0.263771419041667,-0.017293416831668,-0.263771419041667,-0.017293416831668,,,,,,,0.000341746226808,,-0.093524965862156,,,-0.093524965862156,,22.9708674316341,
45,RICH.BK^H20,2014-12-31,-768.15192,,,0.55514,,,,,,,,,,,,,,,,,,,,,,,-20.3338774070096,,,,,,NaN,NaN,NaN,NaN,,-12.8254219601262,-0.340042652786844,0.044267630205637,,-0.384310282992481,,-0.384310282992481,,,,,,,,,,-0.083049561652321,,,-0.083049561652321,,-1303.36884361875,
46,RICH.BK^H20,2013-12-31,75.28827,,,0.47421,1.32823,280.09538,,,,,6.31553681959462,,,848.010731809154,848.010731809154,,,,,6.13056656755477,,,,6.13056656755477,6.31553681959462,,-5.19715304269141,,,,,,NaN,NaN,NaN,NaN,,0.117923035934532,0.028257558319715,0.037532483392727,-0.035811988726499,-0.009274925073012,-0.035893725279029,-0.009274925073012,-0.035893725279029,,,,,,,8.173655253e-05,-0.055350023617677,0.000433957043462,-0.029817933871077,-0.055350023617677,0.000433957043462,-0.029817933871077,129.999006848886,-12.0754461527543
47,RICH.BK^H20,2012-12-31,-6303.18071,,,0.01723,,,,,,,,,,,,,,,,,,,,,,,-39.870551459826,,,,,,NaN,NaN,NaN,NaN,,-37.7052284874234,-0.094194979394005,0.001494403915404,-0.035023231664178,-0.09568938330941,-0.035224978290792,-0.09568938330941,-0.035224978290792,,,,,,,,-0.07433983143123,-0.162422624229131,-0.033106719661944,-0.07433983143123,-0.162422624229131,-0.033106719661944,-132.69618316097,-62.1102519331504
